8124	2075	3328	5918	7310	
8026	655	197	478	911	
8740	9637	2628	2730	4105	
3650	696	1213	7465	11	
2234	667	1111	2390	8764	
324	7439	2391	2966	3304	
5245	3969	4391	7675	8253	
127	609	919	1303	2304	
2193	768	4149	2043	3621	
489	7859	9801	9516	1106	
849	6917	8567	1301	8885	
6314	1499	3650	39	3159	
4456	1096	3704	121	2459	
849	8124	1337	5926	344	
7805	7611	8083	7087	9403	
8384	61	174	317	360	
8594	4391	2311	7821	8901	
2826	7602	1851	7655	8253	
6883	2626	5025	4394	7445	
7289	1096	8745	6317	2157	
1080	4386	4751	5029	5137	
5854	2480	2581	1114	3268	
4188	7259	5670	2629	8774	
2590	3174	3357	4542	5181	
2043	2193	5122	6115	4149	
318	1812	4173	5248	5251	
6999	1820	6399	1894	1923	
427	2647	1	197	478	
696	2966	4049	8837	268	
5469	526	1487	7513	440	
6210	4482	4627	6677	355	
2193	2043	4149	3621	5122	
543	5105	4730	8253	7080	
5	207	316	542	1633	
746	1135	1493	2212	2970	
2043	2193	5122	6115	4149	
8851	6883	1340	7078	8741	
0	
3842	606	973	4591	9361	
6314	3650	1213	8958	2778	
3842	4386	5137	6149	6679	
7612	635	5	112	270	
2968	7439	1210	7366	324	
6171	8638	8270	724	2722	
1117	6883	9451	324	1356	
2966	5364	324	7428	7439	
95	498	4235	4345	4812	
2628	2730	4105	4415	5442	
8594	7821	1748	8417	9605	
207	316	1992	4386	4487	
5286	6210	2046	6165	6741	
5907	5736	627	7352	1731	
2043	5122	6115	2193	984	
5736	627	1058	5907	1731	
6495	2075	8124	1661	1926	
9361	3842	2047	8670	973	
548	3284	942	2945	3460	
0	
696	1896	2966	3092	5538	
0	
0	
8384	15	174	317	360	
2731	9305	45	1791	2712	
849	196	562	682	1625	
606	973	4591	3715	3842	
2647	427	9850	1	197	
7805	8030	5258	9997	2033	
2657	6661	500	5400	5928	
2043	2193	5122	6115	4149	
5181	3618	9571	1106	3456	
8594	7821	4391	2311	1748	
1987	583	829	944	1302	
0	
7139	9361	606	612	1790	
9361	2047	2423	3383	3842	
840	434	383	776	1688	
696	8030	3658	1159	2007	
2043	5122	6115	2193	984	
2193	4149	2043	3621	5122	
2193	2043	5122	6115	4149	
3658	5444	2731	7794	1159	
5068	9795	3452	2372	101	
2731	5960	8985	8030	696	
8124	2075	4107	5778	1986	
9361	2047	3383	5018	8670	
6210	6677	30	1061	1067	
2043	3650	2193	5122	6115	
1117	5	1633	2391	2966	
4670	5421	91	1694	3203	
3799	2007	2229	2524	2791	
7391	4824	7104	3173	5286	
4670	5421	1248	1694	5907	
911	2708	6567	450	1731	
2043	2193	5122	6115	984	
746	1493	2212	2970	3654	
3283	559	3677	292	910	
3650	1213	6314	7465	7666	
840	434	383	776	1688	
122	2968	7439	8384	1210	
0	
6883	8253	4193	4558	5953	
9361	2047	7626	8670	973	
840	434	383	776	1650	
9092	4828	6905	8973	9072	
849	1301	786	991	1274	
0	
6883	7324	8851	1340	2183	
8124	2075	5105	6495	5926	
2193	2043	4149	3621	5122	
5469	526	8353	5684	6447	
5736	2708	1731	6376	627	
3974	714	1080	4024	2960	
7462	8384	7366	324	7439	
5286	6210	2046	6165	6741	
0	
7078	1851	6568	4588	8253	
5181	3618	3456	23	102	
